searched_role,site,title,company,location,date_posted,salary
AI Engineer,indeed,Senior Product Manager - AI Products,Simpplr,"KA, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Lead AI Engineer,Dentsu,"KA, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Lead Architect,Dentsu,"KA, IN",2026-06-23,₹28L - ₹49L PA 
AI Engineer,indeed,Architect - Dotnet,Neurealm,"TN, IN",2026-06-23,₹28L - ₹49L PA 
AI Engineer,indeed,Senior AI Engineer,Gurucul,"MH, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer,Wing AI,"Remote, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Developer (Backend),Tech Next,"Remote, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Full Stack AI Engineer,Codian Cloud Technologies,"TN, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Python FastAPI Developer – AI Voice & Communication Integrations,Airexon Global Technology,"WB, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Digital-Staff,EY,"WB, IN",2026-06-23,₹15L - ₹23L PA 
AI Engineer,indeed,MLops Engineer,Capgemini,"MH, IN",2026-06-23,₹7L - ₹19L PA 
AI Engineer,indeed,Generative AI Engineers,Zensar Technologies,"KA, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Python AI Engineer,XMINDS INFOTECH PVT LTD,"KL, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Technical Project Manager – Odoo ERP & AI Systems,GW Products,"Remote, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI/ML Engineer,MOTM Technologies,"MH, IN",2026-06-23,₹7L - ₹19L PA 
AI Engineer,indeed,Assistant Manager - Data Science,LatentView Analytics,"KA, IN",2026-06-23,₹28L - ₹49L PA 
AI Engineer,indeed,AI Engineer,Re'equil India Private Limited,"CH, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer II – Intelligence,ScaleupAlly,"UP, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer 1,ScaleupAlly,"UP, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,Agentic AI Engineer,grey chain,"Remote, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer,,"KL, IN",2026-06-23,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer,BMC Software,"KA, IN",2026-06-22,₹4L - ₹8L PA 
AI Engineer,indeed,"Associate Director, AI Engineering Manager",Novartis,"TS, IN",2026-06-22,₹4L - ₹8L PA 
AI Engineer,indeed,Technical Lead,HCLTech,"KA, IN",2026-06-22,₹28L - ₹49L PA 
AI Engineer,indeed,Principal Site Reliability Engineer,Optum,"UP, IN",2026-06-22,₹28L - ₹49L PA 
AI Engineer,indeed,AI Technical Lead,Wipro,"MH, IN",2026-06-22,₹4L - ₹8L PA 
AI Engineer,indeed,Associate Software Platfrom Engineer,MetLife,"MH, IN",2026-06-18,₹4L - ₹8L PA 
AI Engineer,indeed,Software Platform Engineer II,MetLife,"MH, IN",2026-06-18,₹15L - ₹23L PA 
AI Engineer,indeed,Lead Software Platform Engineer,MetLife,"MH, IN",2026-06-18,₹28L - ₹49L PA 
AI Engineer,indeed,AI Technical Manager,Ericsson,"UP, IN",2026-06-10,₹4L - ₹8L PA 
AI Engineer,indeed,AI Technical Manager,Ericsson,"HR, IN",2026-06-10,₹4L - ₹8L PA 
AI Engineer,indeed,AI Technical Manager,Ericsson,"WB, IN",2026-06-10,₹4L - ₹8L PA 
AI Engineer,indeed,GCP Application Senior Technical Lead,HCLTech,"UP, IN",2026-05-20,₹28L - ₹49L PA 
AI Engineer,indeed,Associate Software Platform Engineer II,MetLife,"UP, IN",2026-05-19,₹4L - ₹8L PA 
LLM Engineer,indeed,Data Engineer — Ingestion & Pipelines,Programming.com,"MH, IN",2026-06-24,₹10L - ₹26L PA 
LLM Engineer,indeed,LLM Engineer (Large Language Models),fospe,"KA, IN",2026-06-20,₹10L - ₹26L PA 
LLM Engineer,indeed,Senior LLM Engineer,Prophaze Technologies,"KL, IN",2026-06-10,₹20L - ₹31L PA 
LLM Engineer,indeed,Senior Software Engineer,Dentsu,"MH, IN",2026-06-09,₹20L - ₹31L PA 
LLM Engineer,indeed,AI/LLM Engineer,Kybrix technologies,"PB, IN",2026-06-03,₹10L - ₹26L PA 
LLM Engineer,indeed,Senior LLM Engineer,Infocusp innovations,"GJ, IN",2026-05-27,₹20L - ₹31L PA 
LLM Engineer,indeed,GenAI Lead Engineer,Persistent Systems,IN,2026-05-26,₹7L - ₹12L PA 
LLM Engineer,indeed,Principal,AXTRIA,"HR, IN",2026-05-24,₹33L - ₹58L PA 
LLM Engineer,indeed,IN-Senior Associate_AI Engineer_Data & Analytics_Advisory_Bangalore,PwC,"KA, IN",2026-05-17,₹7L - ₹12L PA 
LLM Engineer,indeed,ML / LLM Engineer,Codvo.ai,"Remote, IN",2026-05-12,₹10L - ₹26L PA 
LLM Engineer,indeed,AI / LLM Engineer,Insuserve-1,"AP, IN",2026-05-11,₹7L - ₹12L PA 
LLM Engineer,indeed,IN-Senior Associate_ AI/ML Engineer __ Data & Analytics _ Advisory _Bangalore,PwC,"KA, IN",2026-05-05,₹7L - ₹12L PA 
LLM Engineer,indeed,Generative AI Engineer,Dreamer Technoland,"UP, IN",2026-03-27,₹7L - ₹12L PA 
LLM Engineer,indeed,ML/LLM engineer,Click Orbits Pvt Ltd,"UP, IN",2026-03-03,₹10L - ₹26L PA 
